feature_name,scores
borrowed_in_months_60.0,1455.129171823156
facebook_profile_True,754.386820248234
facebook_profile_False,438.08781227790587
borrowed_in_months_36.0,355.70774845537426
risk_rate,236.0832610895393
amount_borrowed,143.29526424445518
income,116.86267776097382
gender_f,91.35848645695913
score_3,62.244195241065405
gender_m,47.88230935192375
score_1,9.047774491507225
real_state,5.202299542510731
n_accounts,3.522219143137491
score_2,2.9536718898022403
n_bankruptcies,1.7323392601720546
gender_unknown,1.110345475638934
random_variable_4,0.4482452921586171
score_4,0.4409481492022028
n_defaulted_loans,0.3766632536446643
random_variable_1,0.2763672465591812
facebook_profile_unknown,0.12954931458119612
score_5,0.08425236885400257
random_variable_2,0.05717030794337739
random_variable_3,0.030039228827162378
score_6,0.015131575359035808
random_variable_5,0.0046226005529799614
