feature_name,scores
income,0.0654199546747416
risk_rate,0.061321733900962294
amount_borrowed,0.06068688426872911
random_variable_3,0.0601428692130925
random_variable_5,0.0600930663743275
random_variable_1,0.06007520891942634
score_5,0.05974847090484488
random_variable_4,0.05973956638881632
random_variable_2,0.05970964005444871
score_3,0.05873576323436567
score_4,0.05852165971829946
score_6,0.05839470380777523
n_accounts,0.057436124401416544
score_2,0.05204843426236512
score_1,0.04350888455569504
real_state,0.032718648097895264
borrowed_in_months_36.0,0.018471560819196486
borrowed_in_months_60.0,0.015415991027309062
n_bankruptcies,0.01520816678692539
facebook_profile_False,0.012334024655272629
facebook_profile_True,0.011229580809132417
gender_m,0.005558245664268055
gender_f,0.005217974856163359
gender_unknown,0.0036623059748121392
facebook_profile_unknown,0.002481310066251788
n_defaulted_loans,0.0021192265634671055
